Class	Field	Type	Description
ExcelScript.ArrowheadLength	medium	EnumField	
ExcelScript.ArrowheadLength	short	EnumField	
ExcelScript.ArrowheadStyle		Class	
ExcelScript.ArrowheadStyle	diamond	EnumField	
ExcelScript.ArrowheadStyle	none	EnumField	
ExcelScript.ArrowheadStyle	open	EnumField	
ExcelScript.ArrowheadStyle	oval	EnumField	
ExcelScript.ArrowheadStyle	stealth	EnumField	
ExcelScript.ArrowheadStyle	triangle	EnumField	
ExcelScript.ArrowheadWidth		Class	
ExcelScript.ArrowheadWidth	medium	EnumField	
ExcelScript.ArrowheadWidth	narrow	EnumField	
ExcelScript.ArrowheadWidth	wide	EnumField	
ExcelScript.AutoFillType		Class	The behavior types when AutoFill is used on a range in the workbook.
ExcelScript.AutoFillType	fillCopy	EnumField	Populates the adjacent cells with data based on the selected data.
ExcelScript.AutoFillType	fillDays	EnumField	"A version of ""FillSeries"" for dates that bases the pattern on either the day of the month or the day of the week  depending on the context."
ExcelScript.AutoFillType	fillDefault	EnumField	Populates the adjacent cells based on the surrounding data (the standard AutoFill behavior).
ExcelScript.AutoFillType	fillFormats	EnumField	Populates the adjacent cells with the selected formulas.
ExcelScript.AutoFillType	fillMonths	EnumField	"A version of ""FillSeries"" for dates that bases the pattern on the month."
ExcelScript.AutoFillType	fillSeries	EnumField	Populates the adjacent cells with data that follows a pattern in the copied cells.
ExcelScript.AutoFillType	fillValues	EnumField	Populates the adjacent cells with the selected values.
ExcelScript.AutoFillType	fillWeekdays	EnumField	"A version of ""FillSeries"" for dates that bases the pattern on the day of the week and only includes weekdays."
ExcelScript.AutoFillType	fillYears	EnumField	"A version of ""FillSeries"" for dates that bases the pattern on the year."
ExcelScript.AutoFillType	flashFill	EnumField	Populates the adjacent cells by using Excel's Flash Fill feature.
ExcelScript.AutoFillType	growthTrend	EnumField	"A version of ""FillSeries"" for numbers that fills out the values in the adjacent cells according to a growth trend model."
ExcelScript.AutoFillType	linearTrend	EnumField	"A version of ""FillSeries"" for numbers that fills out the values in the adjacent cells according to a linear trend model."
ExcelScript.AutoFilter		Class	Represents the `AutoFilter` object.
ExcelScript.AutoFilter	apply(range	Method	Applies the AutoFilter to a range.
ExcelScript.AutoFilter	clearCriteria()	Method	Clears the filter criteria and sort state of the AutoFilter.
ExcelScript.AutoFilter	getCriteria()	Method	An array that holds all the filter criteria in the autofiltered range.
ExcelScript.AutoFilter	getEnabled()	Method	Specifies if the AutoFilter is enabled.
ExcelScript.AutoFilter	getIsDataFiltered()	Method	Specifies if the AutoFilter has filter criteria.
ExcelScript.AutoFilter	getRange()	Method	Returns the `Range` object that represents the range to which the AutoFilter applies.
ExcelScript.AutoFilter	reapply()	Method	Applies the specified AutoFilter object currently on the range.
ExcelScript.AutoFilter	remove()	Method	Removes the AutoFilter for the range.
ExcelScript.BasicDataValidation		Class	Represents the basic type data validation criteria.
ExcelScript.BasicDataValidation	formula1	Property	Specifies the right-hand operand when the operator property is set to a binary operator such as GreaterThan (the left-hand operand is the value the user tries to enter in the cell).
ExcelScript.BasicDataValidation	formula2	Property	With the ternary operators Between and NotBetween  specifies the upper bound operand.
ExcelScript.BasicDataValidation	operator	Property	The operator to use for validating the data.
ExcelScript.Binding		Class	Represents an Office.js binding that is defined in the workbook.
ExcelScript.Binding	delete()	Method	Deletes the binding.
ExcelScript.Binding	getId()	Method	Represents the binding identifier.
ExcelScript.Binding	getRange()	Method	Returns the range represented by the binding.
ExcelScript.Binding	getTable()	Method	Returns the table represented by the binding.
ExcelScript.Binding	getText()	Method	Returns the text represented by the binding.
ExcelScript.Binding	getType()	Method	Returns the type of the binding.
ExcelScript.BindingType		Class	
ExcelScript.BindingType	range	EnumField	
ExcelScript.BindingType	table	EnumField	
ExcelScript.BindingType	text	EnumField	
ExcelScript.BorderIndex		Class	
ExcelScript.BorderIndex	diagonalDown	EnumField	
ExcelScript.BorderIndex	diagonalUp	EnumField	
ExcelScript.BorderIndex	edgeBottom	EnumField	
ExcelScript.BorderIndex	edgeLeft	EnumField	
ExcelScript.BorderIndex	edgeRight	EnumField	
ExcelScript.BorderIndex	edgeTop	EnumField	
ExcelScript.BorderIndex	insideHorizontal	EnumField	
ExcelScript.BorderIndex	insideVertical	EnumField	
ExcelScript.BorderLineStyle		Class	
ExcelScript.BorderLineStyle	continuous	EnumField	
ExcelScript.BorderLineStyle	dash	EnumField	
ExcelScript.BorderLineStyle	dashDot	EnumField	
ExcelScript.BorderLineStyle	dashDotDot	EnumField	
ExcelScript.BorderLineStyle	dot	EnumField	
ExcelScript.BorderLineStyle	double	EnumField	
ExcelScript.BorderLineStyle	none	EnumField	
ExcelScript.BorderLineStyle	slantDashDot	EnumField	
ExcelScript.BorderWeight		Class	
ExcelScript.BorderWeight	hairline	EnumField	
ExcelScript.BorderWeight	medium	EnumField	
ExcelScript.BorderWeight	thick	EnumField	
ExcelScript.BorderWeight	thin	EnumField	
ExcelScript.BuiltInStyle		Class	
ExcelScript.BuiltInStyle	accent1	EnumField	
ExcelScript.BuiltInStyle	accent1_20	EnumField	
ExcelScript.BuiltInStyle	accent1_40	EnumField	
ExcelScript.BuiltInStyle	accent1_60	EnumField	
ExcelScript.BuiltInStyle	accent2	EnumField	
ExcelScript.BuiltInStyle	accent2_20	EnumField	
ExcelScript.BuiltInStyle	accent2_40	EnumField	
ExcelScript.BuiltInStyle	accent2_60	EnumField	
ExcelScript.BuiltInStyle	accent3	EnumField	
ExcelScript.BuiltInStyle	accent3_20	EnumField	
ExcelScript.BuiltInStyle	accent3_40	EnumField	
ExcelScript.BuiltInStyle	accent3_60	EnumField	
ExcelScript.BuiltInStyle	accent4	EnumField	
ExcelScript.BuiltInStyle	accent4_20	EnumField	
ExcelScript.BuiltInStyle	accent4_40	EnumField	
ExcelScript.BuiltInStyle	accent4_60	EnumField	
ExcelScript.BuiltInStyle	accent5	EnumField	
ExcelScript.BuiltInStyle	accent5_20	EnumField	
ExcelScript.BuiltInStyle	accent5_40	EnumField	
ExcelScript.BuiltInStyle	accent5_60	EnumField	
ExcelScript.BuiltInStyle	accent6	EnumField	
ExcelScript.BuiltInStyle	accent6_20	EnumField	
ExcelScript.BuiltInStyle	accent6_40	EnumField	
ExcelScript.BuiltInStyle	accent6_60	EnumField	
ExcelScript.BuiltInStyle	bad	EnumField	
ExcelScript.BuiltInStyle	calculation	EnumField	
ExcelScript.BuiltInStyle	checkCell	EnumField	
ExcelScript.BuiltInStyle	comma	EnumField	
ExcelScript.BuiltInStyle	currency	EnumField	
ExcelScript.BuiltInStyle	emphasis1	EnumField	
ExcelScript.BuiltInStyle	emphasis2	EnumField	
ExcelScript.BuiltInStyle	emphasis3	EnumField	
ExcelScript.BuiltInStyle	explanatoryText	EnumField	
ExcelScript.BuiltInStyle	good	EnumField	
ExcelScript.BuiltInStyle	heading1	EnumField	
ExcelScript.BuiltInStyle	heading2	EnumField	
ExcelScript.BuiltInStyle	heading3	EnumField	
ExcelScript.BuiltInStyle	heading4	EnumField	
ExcelScript.BuiltInStyle	hlink	EnumField	
ExcelScript.BuiltInStyle	hlinkTrav	EnumField	
ExcelScript.BuiltInStyle	input	EnumField	
ExcelScript.BuiltInStyle	linkedCell	EnumField	
ExcelScript.BuiltInStyle	neutral	EnumField	
ExcelScript.BuiltInStyle	normal	EnumField	
ExcelScript.BuiltInStyle	note	EnumField	
ExcelScript.BuiltInStyle	output	EnumField	
ExcelScript.BuiltInStyle	percent	EnumField	
ExcelScript.BuiltInStyle	sheetTitle	EnumField	
ExcelScript.BuiltInStyle	total	EnumField	
ExcelScript.BuiltInStyle	warningText	EnumField	
ExcelScript.BuiltInStyle	wholeComma	EnumField	
ExcelScript.BuiltInStyle	wholeDollar	EnumField	
ExcelScript.CalculationMode		Class	
ExcelScript.CalculationMode	automatic	EnumField	The default recalculation behavior where Excel calculates new formula results every time the relevant data is changed.
ExcelScript.CalculationMode	automaticExceptTables	EnumField	Calculates new formula results every time the relevant data is changed  unless the formula is in a data table.
ExcelScript.CalculationMode	manual	EnumField	Calculations only occur when the user or add-in requests them.
ExcelScript.CalculationState		Class	Represents the state of calculation across the entire Excel application.
ExcelScript.CalculationState	calculating	EnumField	Calculations in progress.
ExcelScript.CalculationState	done	EnumField	Calculations complete.
ExcelScript.CalculationState	pending	EnumField	Changes that trigger calculation have been made  but a recalculation has not yet been performed.
ExcelScript.CalculationType		Class	
ExcelScript.CalculationType	full	EnumField	This will mark all cells as dirty and then recalculate them.
ExcelScript.CalculationType	fullRebuild	EnumField	This will rebuild the full dependency chain  mark all cells as dirty and then recalculate them.
ExcelScript.CalculationType	recalculate	EnumField	Recalculates all cells that Excel has marked as dirty  that is  dependents of volatile or changed data  and cells programmatically marked as dirty.
ExcelScript.CellValueConditionalFormat		Class	Represents a cell value conditional format.
ExcelScript.CellValueConditionalFormat	getFormat()	Method	Returns a format object  encapsulating the conditional formats font  fill  borders  and other properties.
ExcelScript.CellValueConditionalFormat	getRule()	Method	Specifies the rule object on this conditional format.
ExcelScript.CellValueConditionalFormat	setRule(rule)	Method	Specifies the rule object on this conditional format.
ExcelScript.Chart		Class	Represents a chart object in a workbook.
ExcelScript.Chart	activate()	Method	Activates the chart in the Excel UI.
ExcelScript.Chart	addChartSeries(name	Method	Add a new series to the collection.
ExcelScript.Chart	delete()	Method	Deletes the chart object.
ExcelScript.Chart	getAxes()	Method	Represents chart axes.
ExcelScript.Chart	getCategoryLabelLevel()	Method	Specifies a chart category label level enumeration constant  referring to the level of the source category labels.
ExcelScript.Chart	getChartType()	Method	Specifies the type of the chart.
ExcelScript.Chart	getDataLabels()	Method	Represents the data labels on the chart.
ExcelScript.Chart	getDisplayBlanksAs()	Method	Specifies the way that blank cells are plotted on a chart.
ExcelScript.Chart	getFormat()	Method	Encapsulates the format properties for the chart area.
ExcelScript.Chart	getHeight()	Method	Specifies the height  in points  of the chart object.
ExcelScript.Chart	getId()	Method	The unique ID of chart.
ExcelScript.Chart	getImage(width	Method	Renders the chart as a base64-encoded image by scaling the chart to fit the specified dimensions.
ExcelScript.Chart	getLeft()	Method	The distance  in points  from the left side of the chart to the worksheet origin.
ExcelScript.Chart	getLegend()	Method	Represents the legend for the chart.
ExcelScript.Chart	getName()	Method	Specifies the name of a chart object.
ExcelScript.Chart	getPivotOptions()	Method	Encapsulates the options for a pivot chart.
ExcelScript.Chart	getPlotArea()	Method	Represents the plot area for the chart.
ExcelScript.Chart	getPlotBy()	Method	Specifies the way columns or rows are used as data series on the chart.
ExcelScript.Chart	getPlotVisibleOnly()	Method	True if only visible cells are plotted.
ExcelScript.Chart	getSeries()	Method	Represents either a single series or collection of series in the chart.
ExcelScript.Chart	getSeriesNameLevel()	Method	Specifies a chart series name level enumeration constant  referring to the level of the source series names.
ExcelScript.Chart	getShowAllFieldButtons()	Method	Specifies whether to display all field buttons on a PivotChart.
ExcelScript.Chart	getShowDataLabelsOverMaximum()	Method	Specifies whether to show the data labels when the value is greater than the maximum value on the value axis.
ExcelScript.Chart	getStyle()	Method	Specifies the chart style for the chart.
ExcelScript.Chart	getTitle()	Method	Represents the title of the specified chart  including the text  visibility  position  and formatting of the title.
ExcelScript.Chart	getTop()	Method	Specifies the distance  in points  from the top edge of the object to the top of row 1 (on a worksheet) or the top of the chart area (on a chart).
ExcelScript.Chart	getWidth()	Method	Specifies the width  in points  of the chart object.
ExcelScript.Chart	getWorksheet()	Method	The worksheet containing the current chart.
ExcelScript.Chart	setCategoryLabelLevel(categoryLabelLevel)	Method	Specifies a chart category label level enumeration constant  referring to the level of the source category labels.
ExcelScript.Chart	setChartType(chartType)	Method	Specifies the type of the chart.
ExcelScript.Chart	setData(sourceData	Method	Resets the source data for the chart.
ExcelScript.Chart	setDisplayBlanksAs(displayBlanksAs)	Method	Specifies the way that blank cells are plotted on a chart.
ExcelScript.Chart	setHeight(height)	Method	Specifies the height  in points  of the chart object.
ExcelScript.Chart	setLeft(left)	Method	The distance  in points  from the left side of the chart to the worksheet origin.
ExcelScript.Chart	setName(name)	Method	Specifies the name of a chart object.
ExcelScript.Chart	setPlotBy(plotBy)	Method	Specifies the way columns or rows are used as data series on the chart.
ExcelScript.Chart	setPlotVisibleOnly(plotVisibleOnly)	Method	True if only visible cells are plotted.
ExcelScript.Chart	setPosition(startCell	Method	Positions the chart relative to cells on the worksheet.
ExcelScript.Chart	setSeriesNameLevel(seriesNameLevel)	Method	Specifies a chart series name level enumeration constant  referring to the level of the source series names.
ExcelScript.Chart	setShowAllFieldButtons(showAllFieldButtons)	Method	Specifies whether to display all field buttons on a PivotChart.
ExcelScript.Chart	setShowDataLabelsOverMaximum(showDataLabelsOverMaximum)	Method	Specifies whether to show the data labels when the value is greater than the maximum value on the value axis.
ExcelScript.Chart	setStyle(style)	Method	Specifies the chart style for the chart.
ExcelScript.Chart	setTop(top)	Method	Specifies the distance  in points  from the top edge of the object to the top of row 1 (on a worksheet) or the top of the chart area (on a chart).
ExcelScript.Chart	setWidth(width)	Method	Specifies the width  in points  of the chart object.
ExcelScript.ChartAreaFormat		Class	Encapsulates the format properties for the overall chart area.
ExcelScript.ChartAreaFormat	getBorder()	Method	Represents the border format of chart area  which includes color  linestyle  and weight.
ExcelScript.ChartAreaFormat	getColorScheme()	Method	Specifies the color scheme of the chart.
ExcelScript.ChartAreaFormat	getFill()	Method	Represents the fill format of an object  which includes background formatting information.
ExcelScript.ChartAreaFormat	getFont()	Method	Represents the font attributes (font name  font size  color  etc.) for the current object.
ExcelScript.ChartAreaFormat	getRoundedCorners()	Method	Specifies if the chart area of the chart has rounded corners.
ExcelScript.ChartAreaFormat	setColorScheme(colorScheme)	Method	Specifies the color scheme of the chart.
ExcelScript.ChartAreaFormat	setRoundedCorners(roundedCorners)	Method	Specifies if the chart area of the chart has rounded corners.
ExcelScript.ChartAxes		Class	Represents the chart axes.
ExcelScript.ChartAxes	getCategoryAxis()	Method	Represents the category axis in a chart.
ExcelScript.ChartAxes	getChartAxis(type	Method	Returns the specific axis identified by type and group.
ExcelScript.ChartAxes	getSeriesAxis()	Method	Represents the series axis of a 3-D chart.
ExcelScript.ChartAxes	getValueAxis()	Method	Represents the value axis in an axis.
ExcelScript.ChartAxis		Class	Represents a single axis in a chart.
ExcelScript.ChartAxis	getAlignment()	Method	Specifies the alignment for the specified axis tick label.
ExcelScript.ChartAxis	getAxisGroup()	Method	Specifies the group for the specified axis.
ExcelScript.ChartAxis	getBaseTimeUnit()	Method	Specifies the base unit for the specified category axis.
ExcelScript.ChartAxis	getCategoryType()	Method	Specifies the category axis type.
ExcelScript.ChartAxis	getCustomDisplayUnit()	Method	Specifies the custom axis display unit value.
ExcelScript.ChartAxis	getDisplayUnit()	Method	Represents the axis display unit.
ExcelScript.ChartAxis	getFormat()	Method	Represents the formatting of a chart object  which includes line and font formatting.
ExcelScript.ChartAxis	getHeight()	Method	Specifies the height  in points  of the chart axis.
ExcelScript.ChartAxis	getIsBetweenCategories()	Method	Specifies if the value axis crosses the category axis between categories.
ExcelScript.ChartAxis	getLeft()	Method	Specifies the distance  in points  from the left edge of the axis to the left of chart area.
ExcelScript.ChartAxis	getLinkNumberFormat()	Method	Specifies if the number format is linked to the cells.
ExcelScript.ChartAxis	getLogBase()	Method	Specifies the base of the logarithm when using logarithmic scales.
ExcelScript.ChartAxis	getMajorGridlines()	Method	Returns an object that represents the major gridlines for the specified axis.
ExcelScript.ChartAxis	getMajorTickMark()	Method	Specifies the type of major tick mark for the specified axis.
ExcelScript.ChartAxis	getMajorTimeUnitScale()	Method	Specifies the major unit scale value for the category axis when the `categoryType` property is set to `dateAxis`<!-- -->.
ExcelScript.ChartAxis	getMajorUnit()	Method	Specifies the interval between two major tick marks.
ExcelScript.ChartAxis	getMaximum()	Method	Specifies the maximum value on the value axis.
ExcelScript.ChartAxis	getMinimum()	Method	Specifies the minimum value on the value axis.
ExcelScript.ChartAxis	getMinorGridlines()	Method	Returns an object that represents the minor gridlines for the specified axis.
ExcelScript.ChartAxis	getMinorTickMark()	Method	Specifies the type of minor tick mark for the specified axis.
ExcelScript.ChartAxis	getMinorTimeUnitScale()	Method	Specifies the minor unit scale value for the category axis when the `categoryType` property is set to `dateAxis`<!-- -->.
ExcelScript.ChartAxis	getMinorUnit()	Method	Specifies the interval between two minor tick marks.
ExcelScript.ChartAxis	getMultiLevel()	Method	Specifies if an axis is multilevel.
ExcelScript.ChartAxis	getNumberFormat()	Method	Specifies the format code for the axis tick label.
ExcelScript.ChartAxis	getOffset()	Method	Specifies the distance between the levels of labels  and the distance between the first level and the axis line.
ExcelScript.ChartAxis	getPosition()	Method	Specifies the specified axis position where the other axis crosses.
ExcelScript.ChartAxis	getPositionAt()	Method	Specifies the axis position where the other axis crosses.
ExcelScript.ChartAxis	getReversePlotOrder()	Method	Specifies if Excel plots data points from last to first.
ExcelScript.ChartAxis	getScaleType()	Method	Specifies the value axis scale type.
ExcelScript.ChartAxis	getShowDisplayUnitLabel()	Method	Specifies if the axis display unit label is visible.
ExcelScript.ChartAxis	getTextOrientation()	Method	Specifies the angle to which the text is oriented for the chart axis tick label.
ExcelScript.ChartAxis	getTickLabelPosition()	Method	Specifies the position of tick-mark labels on the specified axis.
ExcelScript.ChartAxis	getTickLabelSpacing()	Method	Specifies the number of categories or series between tick-mark labels.
ExcelScript.ChartAxis	getTickMarkSpacing()	Method	Specifies the number of categories or series between tick marks.
ExcelScript.ChartAxis	getTitle()	Method	Represents the axis title.
ExcelScript.ChartAxis	getTop()	Method	Specifies the distance  in points  from the top edge of the axis to the top of chart area.
ExcelScript.ChartAxis	getType()	Method	Specifies the axis type.
ExcelScript.ChartAxis	getVisible()	Method	Specifies if the axis is visible.
ExcelScript.ChartAxis	getWidth()	Method	Specifies the width  in points  of the chart axis.
ExcelScript.ChartAxis	setAlignment(alignment)	Method	Specifies the alignment for the specified axis tick label.
ExcelScript.ChartAxis	setBaseTimeUnit(baseTimeUnit)	Method	Specifies the base unit for the specified category axis.
ExcelScript.ChartAxis	setCategoryNames(sourceData)	Method	Sets all the category names for the specified axis.
ExcelScript.ChartAxis	setCategoryType(categoryType)	Method	Specifies the category axis type.
ExcelScript.ChartAxis	setCustomDisplayUnit(value)	Method	Sets the axis display unit to a custom value.
ExcelScript.ChartAxis	setDisplayUnit(displayUnit)	Method	Represents the axis display unit.
ExcelScript.ChartAxis	setIsBetweenCategories(isBetweenCategories)	Method	Specifies if the value axis crosses the category axis between categories.
ExcelScript.ChartAxis	setLinkNumberFormat(linkNumberFormat)	Method	Specifies if the number format is linked to the cells.
ExcelScript.ChartAxis	setLogBase(logBase)	Method	Specifies the base of the logarithm when using logarithmic scales.
ExcelScript.ChartAxis	setMajorTickMark(majorTickMark)	Method	Specifies the type of major tick mark for the specified axis.
ExcelScript.ChartAxis	setMajorTimeUnitScale(majorTimeUnitScale)	Method	Specifies the major unit scale value for the category axis when the `categoryType` property is set to `dateAxis`<!-- -->.
ExcelScript.ChartAxis	setMajorUnit(majorUnit)	Method	Specifies the interval between two major tick marks.
ExcelScript.ChartAxis	setMaximum(maximum)	Method	Specifies the maximum value on the value axis.
ExcelScript.ChartAxis	setMinimum(minimum)	Method	Specifies the minimum value on the value axis.
ExcelScript.ChartAxis	setMinorTickMark(minorTickMark)	Method	Specifies the type of minor tick mark for the specified axis.
ExcelScript.ChartAxis	setMinorTimeUnitScale(minorTimeUnitScale)	Method	Specifies the minor unit scale value for the category axis when the `categoryType` property is set to `dateAxis`<!-- -->.
ExcelScript.ChartAxis	setMinorUnit(minorUnit)	Method	Specifies the interval between two minor tick marks.
ExcelScript.ChartAxis	setMultiLevel(multiLevel)	Method	Specifies if an axis is multilevel.
ExcelScript.ChartAxis	setNumberFormat(numberFormat)	Method	Specifies the format code for the axis tick label.
ExcelScript.ChartAxis	setOffset(offset)	Method	Specifies the distance between the levels of labels  and the distance between the first level and the axis line.
ExcelScript.ChartAxis	setPosition(position)	Method	Specifies the specified axis position where the other axis crosses.
ExcelScript.ChartAxis	setPositionAt(value)	Method	Sets the specified axis position where the other axis crosses.
ExcelScript.ChartAxis	setReversePlotOrder(reversePlotOrder)	Method	Specifies if Excel plots data points from last to first.
ExcelScript.ChartAxis	setScaleType(scaleType)	Method	Specifies the value axis scale type.
ExcelScript.ChartAxis	setShowDisplayUnitLabel(showDisplayUnitLabel)	Method	Specifies if the axis display unit label is visible.
ExcelScript.ChartAxis	setTextOrientation(textOrientation)	Method	Specifies the angle to which the text is oriented for the chart axis tick label.
ExcelScript.ChartAxis	setTickLabelPosition(tickLabelPosition)	Method	Specifies the position of tick-mark labels on the specified axis.
ExcelScript.ChartAxis	setTickLabelSpacing(tickLabelSpacing)	Method	Specifies the number of categories or series between tick-mark labels.
ExcelScript.ChartAxis	setTickMarkSpacing(tickMarkSpacing)	Method	Specifies the number of categories or series between tick marks.
ExcelScript.ChartAxis	setVisible(visible)	Method	Specifies if the axis is visible.
ExcelScript.ChartAxisCategoryType		Class	Specifies the type of the category axis.
ExcelScript.ChartAxisCategoryType	automatic	EnumField	Excel controls the axis type.
ExcelScript.ChartAxisCategoryType	dateAxis	EnumField	Axis groups data on a time scale.
ExcelScript.ChartAxisCategoryType	textAxis	EnumField	Axis groups data by an arbitrary set of categories.
ExcelScript.ChartAxisDisplayUnit		Class	
ExcelScript.ChartAxisDisplayUnit	billions	EnumField	This will set the axis in units of billions.
ExcelScript.ChartAxisDisplayUnit	custom	EnumField	This will set the axis in units of custom value.
ExcelScript.ChartAxisDisplayUnit	hundredMillions	EnumField	This will set the axis in units of hundreds of millions.
ExcelScript.ChartAxisDisplayUnit	hundreds	EnumField	This will set the axis in units of hundreds.
ExcelScript.ChartAxisDisplayUnit	hundredThousands	EnumField	This will set the axis in units of hundreds of thousands.
ExcelScript.ChartAxisDisplayUnit	millions	EnumField	This will set the axis in units of millions.
ExcelScript.ChartAxisDisplayUnit	none	EnumField	Default option.
ExcelScript.ChartAxisDisplayUnit	tenMillions	EnumField	This will set the axis in units of tens of millions.
ExcelScript.ChartAxisDisplayUnit	tenThousands	EnumField	This will set the axis in units of tens of thousands.
ExcelScript.ChartAxisDisplayUnit	thousands	EnumField	This will set the axis in units of thousands.
ExcelScript.ChartAxisDisplayUnit	trillions	EnumField	This will set the axis in units of trillions.
ExcelScript.ChartAxisFormat		Class	Encapsulates the format properties for the chart axis.
ExcelScript.ChartAxisFormat	getFill()	Method	Specifies chart fill formatting.
ExcelScript.ChartAxisFormat	getFont()	Method	Specifies the font attributes (font name  font size  color  etc.) for a chart axis element.
ExcelScript.ChartAxisFormat	getLine()	Method	Specifies chart line formatting.
ExcelScript.ChartAxisGroup		Class	
ExcelScript.ChartAxisGroup	primary	EnumField	
ExcelScript.ChartAxisGroup	secondary	EnumField	
ExcelScript.ChartAxisPosition		Class	
ExcelScript.ChartAxisPosition	automatic	EnumField	
ExcelScript.ChartAxisPosition	custom	EnumField	
ExcelScript.ChartAxisPosition	maximum	EnumField	
ExcelScript.ChartAxisPosition	minimum	EnumField	
ExcelScript.ChartAxisScaleType		Class	
ExcelScript.ChartAxisScaleType	linear	EnumField	
ExcelScript.ChartAxisScaleType	logarithmic	EnumField	
ExcelScript.ChartAxisTickLabelPosition		Class	
ExcelScript.ChartAxisTickLabelPosition	high	EnumField	
ExcelScript.ChartAxisTickLabelPosition	low	EnumField	
ExcelScript.ChartAxisTickLabelPosition	nextToAxis	EnumField	
ExcelScript.ChartAxisTickLabelPosition	none	EnumField	
ExcelScript.ChartAxisTickMark		Class	
ExcelScript.ChartAxisTickMark	cross	EnumField	
ExcelScript.ChartAxisTickMark	inside	EnumField	
ExcelScript.ChartAxisTickMark	none	EnumField	
ExcelScript.ChartAxisTickMark	outside	EnumField	
ExcelScript.ChartAxisTimeUnit		Class	Specifies the unit of time for chart axes and data series.
ExcelScript.ChartAxisTimeUnit	days	EnumField	
ExcelScript.ChartAxisTimeUnit	months	EnumField	
ExcelScript.ChartAxisTimeUnit	years	EnumField	
ExcelScript.ChartAxisTitle		Class	Represents the title of a chart axis.
ExcelScript.ChartAxisTitle	getFormat()	Method	Specifies the formatting of the chart axis title.
ExcelScript.ChartAxisTitle	getText()	Method	Specifies the axis title.
ExcelScript.ChartAxisTitle	getTextOrientation()	Method	Specifies the angle to which the text is oriented for the chart axis title.
ExcelScript.ChartAxisTitle	getVisible()	Method	Specifies if the axis title is visibile.
ExcelScript.ChartAxisTitle	setFormula(formula)	Method	A string value that represents the formula of chart axis title using A1-style notation.
ExcelScript.ChartAxisTitle	setText(text)	Method	Specifies the axis title.
ExcelScript.ChartAxisTitle	setTextOrientation(textOrientation)	Method	Specifies the angle to which the text is oriented for the chart axis title.
ExcelScript.ChartAxisTitle	setVisible(visible)	Method	Specifies if the axis title is visibile.
ExcelScript.ChartAxisTitleFormat		Class	Represents the chart axis title formatting.
ExcelScript.ChartAxisTitleFormat	getBorder()	Method	Specifies the chart axis title's border format  which includes color  linestyle  and weight.
ExcelScript.ChartAxisTitleFormat	getFill()	Method	Specifies the chart axis title's fill formatting.
ExcelScript.ChartAxisTitleFormat	getFont()	Method	Specifies the chart axis title's font attributes  such as font name  font size  or color  of the chart axis title object.
ExcelScript.ChartAxisType		Class	
ExcelScript.ChartAxisType	category	EnumField	Axis displays categories.
ExcelScript.ChartAxisType	invalid	EnumField	
